Protein_ID,Drug_ID,Binding_Affinity,Interaction_Score,Hydrophobicity_Index,Molecular_Weight,Toxicity_Potential,LogP,pH_Stability,Target_Specificity,ADR_Predicted,Charge_At_pH7,Half_Life_Hours,Bioavailability,Solubility,Metabolism_Rate,Plasma_Protein_Binding
P01803,D0148,0.66,0.693,0.023,378.17,0.156,2.35,8.28,0.109,0,-0.14,41.4,0.17,-2.97,1.1,0.711
P07729,D0196,0.165,0.487,-0.403,556.01,0.481,1.73,8.42,0.601,0,-0.31,18.2,0.411,-1.88,0.91,0.696
P08842,D0556,0.118,0.243,0.543,479.3,0.488,2.68,5.92,0.404,0,0.56,29.6,0.084,-1.79,2.83,0.733
P02760,D0087,0.512,0.753,-0.588,452.86,0.064,3.04,5.26,0.788,0,-0.67,60.2,0.488,-7.06,0.22,0.849
P07601,D0620,0.327,0.689,0.476,692.78,0.65,-0.1,5.94,0.727,0,0.9,17.5,0.22,-9.56,1.59,0.518
P07967,D0954,0.222,0.487,-0.181,687.42,0.163,0.13,5.53,0.909,0,-1.24,63.7,0.411,-9.5,2.02,0.47
P08743,D0962,0.174,0.515,0.878,894.78,0.463,1.32,6.49,0.543,0,-1.15,54.7,0.25,-4.86,0.88,0.613
P06865,D0070,0.261,0.81,0.147,241.81,0.608,6.75,5.98,0.156,0,1.62,24.8,0.001,-7.57,4.21,0.741
P01038,D0713,0.038,0.67,0.773,336.23,0.055,2.99,4.54,0.274,0,-0.6,23.0,0.928,-4.51,1.09,0.653
P05300,D0689,0.312,0.53,-0.486,366.32,0.556,-1.36,8.31,0.926,0,1.09,21.2,0.794,0.98,3.66,0.047
P06134,D0397,0.383,0.431,0.894,381.84,0.917,-1.36,5.11,0.303,0,-1.83,4.7,0.584,-5.11,4.34,0.849
P00709,D0359,0.226,0.648,-0.566,398.42,0.135,3.88,8.38,0.48,0,-0.02,4.1,0.013,-4.91,2.67,0.679
P03196,D0801,0.645,0.517,0.891,574.85,0.918,1.64,4.92,0.418,0,-0.21,14.7,0.853,-9.87,3.38,0.804
P02355,D0959,0.859,0.493,0.751,185.63,0.817,5.55,7.75,0.897,0,-1.71,53.4,0.748,-1.17,1.87,0.819
P08969,D0403,0.739,0.486,-0.596,499.26,0.536,1.71,4.86,0.774,0,0.85,54.3,0.404,0.33,4.43,0.063
P02235,D0268,0.199,0.93,0.313,681.29,0.125,-2.77,6.74,0.036,0,-0.69,47.2,0.499,-0.78,0.43,0.264
P08957,D0875,0.131,0.621,-0.262,693.86,0.723,3.42,8.73,0.466,0,1.15,43.5,0.785,-7.89,3.28,0.351
P09598,D0764,0.924,0.33,-0.197,564.59,0.647,-0.33,7.29,0.496,1,-1.0,6.6,0.654,-2.56,1.87,0.847
P08088,D0041,0.454,0.382,-0.921,840.76,0.666,6.86,4.22,0.068,0,-0.77,7.9,0.903,-5.96,3.3,0.071
P06648,D0427,0.864,0.62,0.657,293.49,0.129,-2.94,7.34,0.355,0,-1.55,44.6,0.566,-8.25,3.54,0.408
P05147,D0168,0.652,0.283,-0.481,889.45,0.49,-0.91,4.54,0.417,0,-1.17,52.3,0.581,-1.76,3.22,0.897
P02270,D0052,0.73,0.56,0.538,276.07,0.654,3.49,4.32,0.848,0,1.82,10.4,0.805,-8.13,4.58,0.672
P04165,D0035,0.195,0.363,0.178,407.71,0.466,-1.26,6.48,0.96,0,0.51,18.2,0.207,-9.88,3.45,0.586
P07198,D0619,0.793,0.398,0.942,188.73,0.59,4.04,8.36,0.339,0,1.24,37.0,0.207,-7.38,3.02,0.456
P08538,D0251,0.403,0.526,-0.598,871.57,0.564,2.15,8.38,0.531,0,-1.6,14.2,0.14,-9.49,0.81,0.642
P06302,D0644,0.37,0.457,-0.359,585.74,0.427,-1.62,7.35,0.935,0,-0.1,9.3,0.154,-1.7,1.51,0.757
P04230,D0830,0.616,0.235,-0.667,656.4,0.151,1.01,5.58,0.471,0,-1.97,62.9,0.739,-9.45,0.27,0.924
P08502,D0004,0.277,0.474,0.665,870.21,0.813,2.51,8.17,0.32,0,-1.65,17.0,0.423,-8.92,2.03,0.036
P00059,D0762,0.27,0.598,-0.339,717.22,0.642,2.56,7.95,0.112,0,-1.33,4.8,0.472,-8.21,0.67,0.302
P03810,D0010,0.078,0.562,-0.61,884.43,0.641,1.9,8.98,0.597,0,0.66,65.3,0.449,-8.91,3.89,0.89
P02056,D0992,0.396,0.701,0.184,550.32,0.053,4.33,6.46,0.627,0,0.11,5.1,0.243,-4.86,1.81,0.948
P07039,D0244,0.61,0.337,-0.245,690.36,0.754,0.6,8.3,0.461,0,1.38,53.5,0.965,-2.97,3.47,0.027
P00660,D0782,0.264,0.584,0.624,267.62,0.216,3.2,7.12,0.708,0,-0.2,63.6,0.503,-6.29,4.38,0.452
P02833,D0406,0.895,0.481,0.527,181.66,0.685,-1.11,8.09,0.495,1,0.4,28.3,0.384,-6.42,3.08,0.764
P00785,D0689,0.975,0.468,-0.76,483.77,0.682,6.72,4.25,0.734,0,0.51,25.7,0.751,-5.79,1.2,0.902
P06177,D0828,0.145,0.559,0.712,217.46,0.091,-0.61,5.62,0.134,0,-1.7,14.8,0.772,-2.28,0.77,0.14
P07468,D0966,0.525,0.42,0.965,526.25,0.533,5.62,6.52,0.091,0,1.48,27.8,0.984,-9.51,2.16,0.265
P03287,D0356,0.302,0.403,0.502,414.93,0.711,-1.25,4.77,0.759,0,-0.07,32.7,0.464,0.92,0.21,0.47
P09002,D0113,0.394,0.387,0.648,289.28,0.779,6.64,6.11,0.816,0,0.76,10.0,0.101,0.65,1.16,0.447
P02110,D0528,0.443,0.509,0.835,888.67,0.413,6.85,5.27,0.215,0,-0.22,16.3,0.768,-4.61,0.21,0.3
P08986,D0490,0.451,0.51,0.572,855.08,0.025,-0.32,4.86,0.066,0,0.25,27.5,0.706,-8.91,3.08,0.634
P04469,D0805,0.377,0.443,0.169,359.07,0.702,-0.85,6.26,0.067,0,-0.11,27.1,0.055,-3.91,3.49,0.903
P00472,D0639,0.357,0.637,-0.864,470.86,0.313,4.47,6.43,0.235,0,0.64,10.9,0.571,-1.37,3.61,0.696
P02229,D0604,0.077,0.478,-0.031,651.38,0.238,3.81,5.12,0.543,0,-1.55,70.1,0.139,-3.14,2.96,0.403
P02891,D0426,0.388,0.809,0.566,545.45,0.797,4.09,6.09,0.625,0,0.57,63.8,0.985,-1.26,2.2,0.417
P08715,D0429,0.988,0.722,-0.488,834.09,0.377,-2.11,6.22,0.855,0,1.12,64.2,0.815,-7.0,1.82,0.895
P00587,D0358,0.458,0.156,0.307,890.71,0.492,2.59,7.51,0.852,0,-1.73,11.3,0.132,-8.2,1.47,0.849
P01932,D0119,0.37,0.353,-0.37,196.7,0.385,3.76,8.59,0.846,0,0.3,35.5,0.098,-4.9,4.3,0.658
P09393,D0307,0.761,0.44,0.724,487.1,0.908,0.17,6.27,0.245,1,-1.7,49.7,0.282,-8.61,3.19,0.091
P07380,D0160,0.89,0.711,-0.273,433.08,0.425,3.9,8.97,0.542,0,-0.94,4.1,0.258,-0.95,2.36,0.511
P01553,D0318,0.662,0.069,-0.909,189.32,0.372,1.03,4.71,0.615,0,-1.02,2.6,0.436,-6.32,2.46,0.723
P02505,D0209,0.36,0.256,0.165,833.73,0.214,0.27,7.69,0.474,0,1.62,14.6,0.011,-2.06,1.06,0.218
P06931,D0156,0.404,0.595,-0.908,267.03,0.443,4.89,5.28,0.025,0,-1.12,27.1,0.667,-0.01,0.31,0.07
P01423,D0620,0.419,0.661,-0.569,177.88,0.496,-0.91,4.29,0.371,0,-0.99,10.4,0.491,-7.85,1.71,0.791
P01273,D0626,0.103,0.389,0.003,221.97,0.664,-2.97,4.21,0.141,0,-0.27,13.2,0.055,-7.3,0.18,0.654
P03072,D0902,0.537,0.481,0.587,478.33,0.73,4.79,4.19,0.016,0,-1.66,59.0,0.039,-8.81,0.69,0.584
P05743,D0637,0.185,0.434,-0.36,458.04,0.236,6.15,7.1,0.114,0,-0.47,57.6,0.171,-9.85,0.88,0.011
P07434,D0792,0.668,0.739,-0.421,828.72,0.944,0.99,6.27,0.762,1,0.36,56.1,0.327,-9.39,3.71,0.981
P05282,D0795,0.758,0.726,-0.774,164.51,0.632,0.88,8.16,0.678,0,-1.37,18.1,0.061,-7.89,0.83,0.204
P05666,D0660,0.588,0.254,0.171,843.48,0.102,6.75,8.76,0.525,0,1.73,16.5,0.326,0.37,1.31,0.934
P03811,D0865,0.278,0.423,0.065,453.32,0.765,-1.04,4.76,0.831,0,-0.72,64.0,0.9,-3.78,1.12,0.786
P02710,D0745,0.82,0.436,-0.982,314.83,0.701,4.58,7.61,0.41,1,-0.67,62.6,0.519,-1.09,0.75,0.638
P01375,D0855,0.202,0.602,0.406,883.03,0.693,-2.26,6.93,0.3,0,-0.23,27.1,0.011,0.13,4.28,0.413
P08988,D0132,0.219,0.795,-0.079,835.64,0.783,6.68,8.56,0.409,0,-0.92,42.0,0.647,-9.47,0.96,0.553
P09213,D0642,0.137,0.449,-0.422,621.87,0.64,4.2,5.21,0.142,0,0.73,51.8,0.916,-5.08,3.09,0.897
P08420,D0159,0.76,0.615,0.422,217.35,0.017,-1.51,4.49,0.65,0,-0.52,67.3,0.175,-6.11,0.39,0.543
P09360,D0642,0.545,0.328,0.624,728.97,0.659,4.06,5.96,0.486,0,-0.86,5.2,0.46,-5.09,3.01,0.456
P04911,D0602,0.11,0.505,0.194,207.96,0.801,5.69,4.86,0.965,0,-1.64,41.6,0.345,-8.68,2.25,0.35
P02173,D0041,0.591,0.627,-0.811,345.13,0.548,-1.57,8.5,0.649,0,0.83,66.1,0.048,0.82,3.54,0.416
P07674,D0162,0.858,0.534,0.812,603.34,0.183,4.97,6.89,0.659,0,0.16,19.6,0.252,-3.41,2.2,0.191
P09231,D0763,0.452,0.569,-0.964,176.23,0.673,6.59,7.6,0.676,0,1.84,6.4,0.341,0.5,2.7,0.105
P01097,D0085,0.831,0.734,-0.581,373.15,0.047,6.23,4.93,0.127,0,-1.33,9.8,0.84,-4.74,3.87,0.369
P02489,D0646,0.936,0.869,-0.471,418.64,0.46,0.87,7.9,0.91,0,-0.98,7.7,0.203,-6.72,3.21,0.518
P02116,D0364,0.267,0.574,-0.26,188.57,0.479,3.83,6.76,0.403,0,1.58,6.3,0.669,-2.23,2.3,0.316
P04963,D0019,0.564,0.705,-0.289,574.29,0.982,1.16,8.76,0.256,1,1.92,13.0,0.502,-7.7,4.24,0.124
P06678,D0192,0.891,0.734,0.798,656.49,0.181,-2.02,6.56,0.038,1,-1.37,49.2,0.009,-0.96,4.03,0.863
P02931,D0506,0.61,0.837,0.592,220.81,0.54,-0.24,4.05,0.721,0,-1.46,2.8,0.657,0.56,4.6,0.796
P03300,D0575,0.436,0.412,-0.597,431.54,0.694,1.74,4.12,0.632,0,1.84,23.7,0.834,-5.83,1.47,0.379
P06389,D0827,0.596,0.108,0.908,389.21,0.015,3.7,5.13,0.368,0,1.86,35.1,0.446,-5.12,1.09,0.121
P07235,D0508,0.747,0.605,-0.275,518.45,0.903,-0.64,7.87,0.347,1,1.39,13.9,0.189,-8.5,1.97,0.022
P01077,D0313,0.275,0.699,-0.563,849.57,0.698,3.7,4.98,0.586,0,0.33,10.1,0.768,-0.71,4.93,0.586
P04552,D0647,0.143,0.514,0.891,516.78,0.625,6.94,5.64,0.079,0,1.05,5.2,0.019,-5.48,1.64,0.428
P09851,D0422,0.19,0.537,0.144,152.05,0.642,2.11,6.03,0.953,0,1.11,71.9,0.506,-5.71,4.68,0.55
P03725,D0516,0.727,0.61,0.179,177.14,0.115,4.25,4.56,0.254,0,-0.46,11.5,0.041,-7.55,3.08,0.282
P05966,D0784,0.111,0.434,0.312,405.91,0.958,4.86,7.93,0.324,0,0.54,49.5,0.875,0.78,1.01,0.964
P07538,D0664,0.323,0.306,0.25,228.47,0.442,-0.67,6.7,0.35,0,1.76,48.4,0.985,-3.84,3.88,0.755
P08113,D0125,0.834,0.2,0.26,373.44,0.572,-2.41,5.26,0.827,0,-0.41,43.8,0.991,-0.91,0.14,0.906
P06849,D0443,0.885,0.242,-0.996,630.17,0.254,3.01,6.34,0.058,0,-0.94,55.6,0.155,-5.47,3.54,0.574
P08000,D0824,0.968,0.457,0.371,343.89,0.111,1.53,7.53,0.468,0,1.04,26.7,0.627,-3.96,4.19,0.732
P06832,D0992,0.608,0.507,0.484,236.08,0.788,5.32,7.52,0.803,0,1.76,42.5,0.589,-9.02,3.04,0.825
P07499,D0326,0.239,0.438,-0.946,675.96,0.587,2.85,5.18,0.852,0,0.28,12.9,0.398,-4.63,3.68,0.087
P07053,D0029,0.665,0.293,0.249,837.92,0.39,2.46,6.15,0.607,0,0.54,27.7,0.806,-6.42,3.78,0.324
P02029,D0729,0.189,0.451,-0.471,832.91,0.158,-0.33,4.14,0.361,0,-0.79,70.2,0.795,-6.01,1.13,0.021
P02994,D0111,0.241,0.453,0.257,639.59,0.407,3.35,6.12,0.653,0,-0.42,45.6,0.853,-8.53,2.11,0.423
P07939,D0312,0.929,0.644,-0.47,288.8,0.003,-2.14,4.28,0.264,0,0.19,13.3,0.791,-2.76,2.0,0.88
P01692,D0409,0.01,0.548,-0.808,804.9,0.974,0.89,4.11,0.143,0,1.5,66.5,0.558,-8.75,1.55,0.359
P01754,D0712,0.549,0.482,-0.643,721.32,0.633,6.54,6.95,0.229,0,1.54,30.9,0.535,0.42,1.65,0.892
P09111,D0755,0.058,0.498,0.836,779.17,0.288,-2.4,6.73,0.717,0,0.59,26.6,0.115,-5.88,3.55,0.959
P09951,D0338,0.223,0.322,-0.122,261.47,0.864,6.55,8.42,0.827,0,0.25,30.5,0.863,-3.41,1.56,0.08
P05248,D0073,0.354,0.544,0.833,513.09,0.094,1.94,7.82,0.282,0,0.22,34.5,0.851,-3.93,4.08,0.117
P04465,D0368,0.109,0.64,-0.032,549.77,0.222,5.78,7.83,0.851,0,-1.93,25.7,0.866,-0.01,4.57,0.886
P05830,D0854,0.035,0.527,0.797,731.31,0.322,3.56,8.45,0.647,0,0.58,14.1,0.028,-9.34,4.36,0.033
P05379,D0525,0.356,0.374,0.135,394.22,0.903,-2.29,4.78,0.351,0,-1.07,11.4,0.245,-4.78,4.25,0.708
P04141,D0917,0.512,0.63,-0.298,409.94,0.254,5.38,4.06,0.978,0,-0.85,38.7,0.426,-4.54,3.0,0.474
P01292,D0612,0.807,0.591,-0.556,814.41,0.418,4.63,5.86,0.147,0,1.84,17.7,0.259,-0.48,1.77,0.678
P06584,D0695,0.338,0.633,-0.258,705.27,0.617,5.77,5.37,0.805,0,-0.92,64.0,0.793,-2.1,3.57,0.193
P07987,D0771,0.311,0.526,-0.646,629.35,0.773,3.28,4.51,0.655,0,1.71,65.5,0.126,-0.76,0.43,0.748
P01641,D0281,0.011,0.592,0.963,240.68,0.663,0.81,5.04,0.968,0,0.01,24.7,0.586,-0.2,2.52,0.518
P00082,D0032,0.617,0.503,-0.303,201.68,0.682,6.21,4.46,0.836,0,-1.62,13.4,0.691,-9.24,3.71,0.048
P06605,D0285,0.766,0.558,0.114,634.21,0.743,6.71,7.71,0.456,0,-1.35,56.0,0.737,-0.09,2.77,0.4
P00823,D0146,0.004,0.442,0.993,534.64,0.587,4.34,6.62,0.831,0,-1.32,8.2,0.608,-7.15,1.18,0.585
P06485,D0540,0.006,0.503,0.038,888.41,0.508,-1.2,5.17,0.001,0,-0.79,64.0,0.47,-5.35,1.09,0.736
P03510,D0227,0.866,0.484,-0.379,789.11,0.83,-0.27,8.39,0.05,1,-0.51,28.5,0.2,-0.44,0.26,0.587
P08489,D0275,0.278,0.604,0.228,577.56,0.713,4.79,8.87,0.496,0,-0.14,17.6,0.261,-9.37,4.54,0.853
P01675,D0115,0.526,0.455,0.634,239.46,0.478,-0.88,6.1,0.664,0,0.32,61.6,0.075,-8.49,1.4,0.582
P05880,D0323,0.659,0.646,0.233,223.69,0.849,-0.34,7.7,0.055,1,1.15,46.7,0.44,-6.66,1.68,0.065
P01747,D0089,0.645,0.32,-0.559,496.28,0.176,-2.28,7.7,0.773,0,-0.93,2.8,0.017,-1.18,0.71,0.014
P03403,D0102,0.559,0.166,-0.615,262.01,0.883,3.16,6.81,0.736,0,-0.66,69.8,0.253,-5.36,1.85,0.718
P04897,D0037,0.201,0.318,0.434,663.89,0.17,1.02,6.31,0.114,0,1.08,70.6,0.733,-6.56,1.88,0.17
P01209,D0598,0.757,0.484,0.698,185.36,0.247,-0.75,7.22,0.467,0,0.29,60.9,0.567,-2.16,3.98,0.012
P08391,D0625,0.569,0.635,0.398,895.38,0.265,2.29,4.84,0.404,0,0.88,60.1,0.749,-1.08,2.02,0.994
P07959,D0443,0.322,0.376,-0.814,859.38,0.064,2.43,7.63,0.497,0,0.67,8.9,0.282,-4.81,4.36,0.339
P04802,D0997,0.692,0.308,-0.355,603.06,0.299,-1.12,4.55,0.084,0,-1.27,7.9,0.677,-9.59,2.85,0.111
P05157,D0636,0.151,0.38,0.371,298.52,0.277,-2.74,7.03,0.241,0,0.34,5.3,0.759,-1.06,4.76,0.763
P08657,D0385,0.367,0.61,0.422,361.71,0.59,5.77,4.13,0.998,0,1.37,23.8,0.657,-2.9,4.94,0.27
P00999,D0659,0.198,0.455,-0.072,370.82,0.598,-1.43,8.45,0.619,0,1.96,16.1,0.454,-4.31,0.93,0.371
P06590,D0812,0.361,0.477,-0.404,289.74,0.549,5.47,7.62,0.651,0,-1.69,23.8,0.189,-4.5,1.18,0.419
P01182,D0488,0.554,0.643,-0.816,232.47,0.63,1.69,6.35,0.593,0,-0.85,47.7,0.816,-7.14,4.18,0.98
P04079,D0477,0.459,0.446,-0.894,647.3,0.04,3.43,7.04,0.735,0,-1.98,20.0,0.756,-4.28,3.29,0.425
P08641,D0726,0.571,0.646,-0.772,710.88,0.699,1.25,7.19,0.781,0,-1.29,35.5,0.753,-2.07,3.12,0.989
P07905,D0586,0.303,0.487,-0.325,333.28,0.949,3.99,8.55,0.011,0,0.67,49.3,0.902,-9.21,4.9,0.053
P03547,D0991,0.09,0.379,0.22,718.86,0.632,-0.3,6.47,0.42,0,-0.2,11.9,0.88,-8.25,4.14,0.209
P05671,D0173,0.115,0.605,0.696,273.73,0.278,-0.77,6.95,0.97,0,0.25,71.4,0.287,-3.36,2.07,0.33
P05008,D0789,0.363,0.588,-0.498,324.73,0.309,1.25,8.15,0.654,0,-1.68,62.6,0.043,-8.72,2.92,0.09
P04989,D0875,0.42,0.557,-0.849,738.26,0.766,1.56,6.23,0.891,0,-0.29,53.3,0.93,-2.31,2.34,0.692
P06353,D0006,0.721,0.82,0.932,883.28,0.111,-0.83,5.29,0.379,0,-1.22,71.2,0.358,-2.85,3.34,0.059
P00475,D0725,0.292,0.627,0.234,733.4,0.373,5.77,5.56,0.112,0,0.75,7.0,0.974,-5.59,2.14,0.22
P01831,D0750,0.71,0.328,-0.716,298.05,0.19,0.42,4.83,0.171,0,-0.32,4.7,0.743,-1.42,2.19,0.875
P06012,D0449,0.609,0.535,-0.499,373.46,0.2,5.64,7.73,0.34,0,0.64,19.2,0.345,-6.66,3.56,0.308
P04955,D0402,0.285,0.606,-0.163,629.76,0.004,1.38,8.7,0.95,0,-1.51,24.9,0.587,0.5,0.32,0.488
P04869,D0355,0.976,0.546,0.935,866.05,0.888,0.61,4.16,0.969,1,-1.54,48.2,0.926,-9.81,1.61,0.259
P01165,D0879,0.267,0.385,-0.765,896.0,0.317,5.48,7.47,0.862,0,0.34,71.8,0.118,-8.81,1.85,0.039
P09530,D0491,0.53,0.378,-0.145,590.7,0.387,-0.79,6.01,0.56,0,1.57,65.5,0.716,-3.52,3.38,0.152
P04393,D0437,0.841,0.318,-0.126,477.32,0.026,-2.24,5.82,0.562,0,0.98,47.2,0.303,-2.76,0.53,0.269
P03015,D0637,0.217,0.548,0.984,331.35,0.095,-0.6,6.83,0.835,0,1.22,15.6,0.098,0.92,1.32,0.582
P02417,D0229,0.068,0.418,-0.615,207.15,0.222,-2.83,5.45,0.057,0,-1.2,40.5,0.377,-7.35,1.82,0.649
P02932,D0367,0.489,0.382,-0.063,380.38,0.171,1.45,8.87,0.421,0,0.04,54.4,0.259,-1.46,4.08,0.401
P05701,D0410,0.618,0.428,0.974,569.9,0.839,3.67,7.77,0.626,0,1.54,57.2,0.056,-7.5,1.89,0.928
P01698,D0457,0.125,0.359,0.314,629.14,0.952,0.6,6.31,0.096,0,1.75,71.3,0.973,0.49,4.24,0.186
P06110,D0286,0.107,0.547,-0.67,398.13,0.935,6.66,6.8,0.086,0,-1.77,5.6,0.297,-5.18,4.1,0.802
P01989,D0392,0.082,0.492,0.872,869.66,0.214,-2.21,4.55,0.232,0,-1.36,67.9,0.437,-9.43,3.42,0.862
P02981,D0869,0.657,0.587,0.086,220.76,0.127,-1.17,7.44,0.585,0,-1.59,12.7,0.764,-7.51,1.8,0.81
P02569,D0110,0.934,0.412,0.628,682.12,0.66,-0.0,7.01,0.838,0,-1.32,46.1,0.05,-5.82,4.91,0.403
P03971,D0788,0.925,0.521,0.612,432.74,0.279,-0.72,8.76,0.601,0,-1.37,48.7,0.545,-6.35,1.01,0.133
P01712,D0198,0.809,0.524,0.105,734.65,0.056,-0.65,6.81,0.664,0,-0.1,20.3,0.791,-5.4,1.28,0.136
P01433,D0094,0.374,0.564,0.632,776.05,0.562,-1.32,4.09,0.32,0,-0.66,12.1,0.845,-3.12,4.0,0.063
P08083,D0157,0.571,0.513,0.77,693.85,0.266,2.45,7.59,0.406,0,-1.68,23.1,0.705,-6.67,3.39,0.061
P05722,D0349,1.0,0.328,0.625,578.18,0.319,4.23,4.88,0.786,0,-0.71,22.0,0.392,-9.44,3.49,0.513
P07522,D0996,0.833,0.577,0.262,208.07,0.595,1.98,6.96,0.781,0,1.6,57.2,0.562,-4.97,0.39,0.046
P04928,D0366,0.087,0.603,0.175,255.56,0.697,2.82,6.99,0.99,0,-0.15,16.0,0.181,-5.18,4.27,0.578
P02424,D0578,0.002,0.513,-0.073,597.7,0.11,0.23,8.59,0.007,0,0.94,52.7,0.609,-4.41,0.93,0.075
P01079,D0378,0.384,0.455,-0.838,873.31,0.051,0.13,6.55,0.711,0,-1.04,11.6,0.108,-6.34,2.04,0.797
P05375,D0930,0.027,0.693,-0.045,547.18,0.825,5.64,7.75,0.972,0,-0.14,29.6,0.87,-9.91,4.64,0.088
P05696,D0989,0.761,0.575,0.259,825.22,0.268,2.29,4.52,0.912,0,1.53,13.0,0.957,-5.89,0.28,0.583
P09777,D0522,0.609,0.566,-0.095,844.27,0.526,0.27,8.95,0.365,0,1.59,66.9,0.287,-7.0,1.79,0.822
P05970,D0789,0.662,0.526,-0.163,240.1,0.785,4.71,6.04,0.474,0,-1.4,58.2,0.208,-4.56,1.21,0.464
P07582,D0096,0.924,0.433,-0.528,492.16,0.055,2.01,8.3,0.477,0,-0.66,2.2,0.544,-9.06,4.36,0.764
P02399,D0109,0.985,0.609,-0.268,714.61,0.773,-2.36,7.85,0.62,1,-0.64,26.4,0.939,-2.11,2.75,0.548
P05360,D0945,0.323,0.444,-0.592,456.43,0.558,-0.06,5.28,0.39,0,-0.83,25.8,0.414,-1.62,3.75,0.659
P05948,D0396,0.14,0.595,-0.844,370.13,0.106,6.58,8.22,0.133,0,-0.34,34.9,0.101,-2.47,4.61,0.436
P02303,D0701,0.026,0.318,0.448,835.56,0.676,2.27,5.38,0.841,0,-0.14,16.5,0.936,-1.43,4.64,0.026
P00195,D0913,0.871,0.614,0.399,597.91,0.073,5.27,8.62,0.569,0,0.12,38.9,0.212,-6.83,1.13,0.838
P02820,D0074,0.289,0.523,0.035,621.11,0.311,-0.81,4.29,0.956,0,-1.83,23.7,0.62,-8.65,1.34,0.875
P01954,D0153,0.034,0.549,-0.842,674.12,0.536,5.15,7.22,0.268,0,-1.07,30.4,0.891,-7.81,1.88,0.339
P09160,D0827,0.597,0.712,0.233,879.64,0.674,5.06,5.86,0.584,0,0.58,30.5,0.579,-0.84,4.97,0.245
P09704,D0676,0.401,0.486,-0.442,611.53,0.262,-0.36,6.45,0.092,0,0.66,57.7,0.099,-0.39,3.8,0.211
P06453,D0911,0.871,0.511,0.898,162.16,0.18,3.36,6.15,0.214,0,0.43,44.1,0.62,-9.63,2.85,0.838
P04994,D0014,0.102,0.463,-0.903,874.75,0.74,0.47,7.97,0.723,0,-1.18,24.8,0.026,0.63,3.3,0.939
P09415,D0675,0.595,0.664,-0.994,320.43,0.409,0.97,8.92,0.597,0,-0.33,58.9,0.11,-2.38,0.36,0.514
P02808,D0332,0.79,0.377,0.665,871.05,0.203,4.79,4.7,0.982,0,0.1,19.9,0.715,0.88,2.35,0.015
P04280,D0339,0.866,0.468,-0.536,447.64,0.594,3.08,6.57,0.35,1,-1.31,13.6,0.81,-7.97,4.07,0.619
P03405,D0551,0.072,0.604,0.34,794.4,0.394,-1.36,8.02,0.526,0,1.82,8.3,0.601,-0.97,0.5,0.237
P05898,D0682,0.783,0.696,-0.302,450.78,0.62,4.54,7.63,0.999,0,0.18,49.3,0.511,-1.77,3.02,0.43
P04254,D0014,0.796,0.584,0.647,622.55,0.782,0.18,6.59,0.041,1,-1.74,21.0,0.013,0.78,4.55,0.719
P02701,D0699,0.262,0.436,0.707,451.32,0.02,6.15,5.88,0.606,0,1.11,30.1,0.767,-8.72,0.83,0.043
P06800,D0387,0.301,0.466,0.884,704.16,0.356,-0.39,6.89,0.977,0,1.99,66.2,0.777,-1.08,2.16,0.615
P00986,D0673,0.921,0.482,-0.229,754.12,0.351,6.15,5.92,0.282,0,-1.41,33.8,0.753,-4.02,1.3,0.188
P05996,D0656,0.628,0.568,-0.988,786.52,0.9,-0.2,7.28,0.003,1,-1.88,17.4,0.568,-4.51,2.17,0.474
P02885,D0358,0.03,0.372,-0.712,317.17,0.997,5.07,8.24,0.24,0,0.19,52.4,0.888,-8.91,3.64,0.418
P02793,D0879,0.818,0.455,-0.384,772.93,0.653,-0.48,7.12,0.486,0,-1.77,54.2,0.811,-5.27,4.11,0.321
P00146,D0127,0.971,0.472,0.616,452.98,0.408,6.8,4.63,0.134,1,-1.66,71.3,0.199,-4.29,1.81,0.117
P09953,D0094,0.411,0.692,0.821,605.18,0.44,5.9,6.92,0.555,0,0.14,9.2,0.116,-5.81,1.31,0.473
P04135,D0766,0.752,0.633,-0.58,196.79,0.664,-1.42,6.3,0.748,0,1.83,20.8,0.018,-5.72,0.46,0.595
P03704,D0223,0.724,0.42,-0.219,599.74,0.594,2.99,8.66,0.153,0,-1.68,15.3,0.214,-7.04,3.97,0.585
P03956,D0989,0.402,0.568,0.132,768.45,0.859,-0.46,6.94,0.389,0,0.22,40.5,0.737,0.03,1.01,0.76
P03083,D0995,0.453,0.612,-0.446,362.21,0.714,-0.2,7.7,0.461,0,0.03,67.3,0.476,-6.65,4.87,0.319
P05704,D0937,0.621,0.241,-0.314,496.18,0.134,4.69,7.09,0.645,0,0.46,41.2,0.696,-7.51,4.16,0.989
P08738,D0043,0.174,0.403,0.574,766.12,0.839,-2.3,8.99,0.657,0,1.52,18.6,0.804,0.63,2.36,0.381
P08088,D0885,0.507,0.923,-0.662,375.22,0.291,3.52,8.04,0.541,0,-0.11,29.1,0.363,-9.91,2.66,0.013
P05201,D0837,0.336,0.609,0.078,839.44,0.762,2.3,7.95,0.041,0,0.28,55.9,0.877,-1.38,4.93,0.214
P05908,D0358,0.084,0.737,0.162,265.85,0.055,5.06,6.36,0.508,0,0.31,37.2,0.783,-7.53,1.23,0.462
P08395,D0948,0.201,0.564,-0.716,506.69,0.313,-2.35,8.49,0.033,0,-1.44,15.8,0.598,-7.47,3.22,0.523
